,icd9,ccs_level_3,ccs_level_3_description,ccs_level_1,ccs_level_1_description
125,1235,1,Tuberculosis,1,Infectious and parasitic diseases
126,1236,1,Tuberculosis,1,Infectious and parasitic diseases
127,1280,1,Tuberculosis,1,Infectious and parasitic diseases
128,1281,1,Tuberculosis,1,Infectious and parasitic diseases
129,1282,1,Tuberculosis,1,Infectious and parasitic diseases
130,1283,1,Tuberculosis,1,Infectious and parasitic diseases
131,1284,1,Tuberculosis,1,Infectious and parasitic diseases
132,1285,1,Tuberculosis,1,Infectious and parasitic diseases
133,1286,1,Tuberculosis,1,Infectious and parasitic diseases
134,1300,1,Tuberculosis,1,Infectious and parasitic diseases
135,1301,1,Tuberculosis,1,Infectious and parasitic diseases
136,1302,1,Tuberculosis,1,Infectious and parasitic diseases
137,1303,1,Tuberculosis,1,Infectious and parasitic diseases
138,1304,1,Tuberculosis,1,Infectious and parasitic diseases
139,1305,1,Tuberculosis,1,Infectious and parasitic diseases
140,1306,1,Tuberculosis,1,Infectious and parasitic diseases
141,1310,1,Tuberculosis,1,Infectious and parasitic diseases
142,1311,1,Tuberculosis,1,Infectious and parasitic diseases
143,1312,1,Tuberculosis,1,Infectious and parasitic diseases
144,1313,1,Tuberculosis,1,Infectious and parasitic diseases
145,1314,1,Tuberculosis,1,Infectious and parasitic diseases
146,1315,1,Tuberculosis,1,Infectious and parasitic diseases
147,1316,1,Tuberculosis,1,Infectious and parasitic diseases
148,1320,1,Tuberculosis,1,Infectious and parasitic diseases
149,1321,1,Tuberculosis,1,Infectious and parasitic diseases
150,1322,1,Tuberculosis,1,Infectious and parasitic diseases
151,1323,1,Tuberculosis,1,Infectious and parasitic diseases
152,1324,1,Tuberculosis,1,Infectious and parasitic diseases
153,1325,1,Tuberculosis,1,Infectious and parasitic diseases
154,1326,1,Tuberculosis,1,Infectious and parasitic diseases
155,1330,1,Tuberculosis,1,Infectious and parasitic diseases
156,1331,1,Tuberculosis,1,Infectious and parasitic diseases
157,1332,1,Tuberculosis,1,Infectious and parasitic diseases
158,1333,1,Tuberculosis,1,Infectious and parasitic diseases
159,1334,1,Tuberculosis,1,Infectious and parasitic diseases
160,1335,1,Tuberculosis,1,Infectious and parasitic diseases
161,1336,1,Tuberculosis,1,Infectious and parasitic diseases
162,1340,1,Tuberculosis,1,Infectious and parasitic diseases
163,1341,1,Tuberculosis,1,Infectious and parasitic diseases
164,1342,1,Tuberculosis,1,Infectious and parasitic diseases
165,1343,1,Tuberculosis,1,Infectious and parasitic diseases
166,1344,1,Tuberculosis,1,Infectious and parasitic diseases
167,1345,1,Tuberculosis,1,Infectious and parasitic diseases
168,1346,1,Tuberculosis,1,Infectious and parasitic diseases
169,1350,1,Tuberculosis,1,Infectious and parasitic diseases
170,1351,1,Tuberculosis,1,Infectious and parasitic diseases
171,1352,1,Tuberculosis,1,Infectious and parasitic diseases
172,1353,1,Tuberculosis,1,Infectious and parasitic diseases
173,1354,1,Tuberculosis,1,Infectious and parasitic diseases
174,1355,1,Tuberculosis,1,Infectious and parasitic diseases
175,1356,1,Tuberculosis,1,Infectious and parasitic diseases
176,1360,1,Tuberculosis,1,Infectious and parasitic diseases
177,1361,1,Tuberculosis,1,Infectious and parasitic diseases
178,1362,1,Tuberculosis,1,Infectious and parasitic diseases
179,1363,1,Tuberculosis,1,Infectious and parasitic diseases
180,1364,1,Tuberculosis,1,Infectious and parasitic diseases
181,1365,1,Tuberculosis,1,Infectious and parasitic diseases
182,1366,1,Tuberculosis,1,Infectious and parasitic diseases
183,1380,1,Tuberculosis,1,Infectious and parasitic diseases
184,1381,1,Tuberculosis,1,Infectious and parasitic diseases
185,1382,1,Tuberculosis,1,Infectious and parasitic diseases
186,1383,1,Tuberculosis,1,Infectious and parasitic diseases
187,1384,1,Tuberculosis,1,Infectious and parasitic diseases
188,1385,1,Tuberculosis,1,Infectious and parasitic diseases
189,1386,1,Tuberculosis,1,Infectious and parasitic diseases
190,1390,1,Tuberculosis,1,Infectious and parasitic diseases
191,1391,1,Tuberculosis,1,Infectious and parasitic diseases
192,1392,1,Tuberculosis,1,Infectious and parasitic diseases
193,1393,1,Tuberculosis,1,Infectious and parasitic diseases
194,1394,1,Tuberculosis,1,Infectious and parasitic diseases
195,1395,1,Tuberculosis,1,Infectious and parasitic diseases
196,1396,1,Tuberculosis,1,Infectious and parasitic diseases
197,1400,1,Tuberculosis,1,Infectious and parasitic diseases
198,1401,1,Tuberculosis,1,Infectious and parasitic diseases
199,1402,1,Tuberculosis,1,Infectious and parasitic diseases
200,1403,1,Tuberculosis,1,Infectious and parasitic diseases
201,1404,1,Tuberculosis,1,Infectious and parasitic diseases
202,1405,1,Tuberculosis,1,Infectious and parasitic diseases
203,1406,1,Tuberculosis,1,Infectious and parasitic diseases
204,1480,1,Tuberculosis,1,Infectious and parasitic diseases
205,1481,1,Tuberculosis,1,Infectious and parasitic diseases
206,1482,1,Tuberculosis,1,Infectious and parasitic diseases
207,1483,1,Tuberculosis,1,Infectious and parasitic diseases
208,1484,1,Tuberculosis,1,Infectious and parasitic diseases
209,1485,1,Tuberculosis,1,Infectious and parasitic diseases
210,1486,1,Tuberculosis,1,Infectious and parasitic diseases
211,1500,1,Tuberculosis,1,Infectious and parasitic diseases
212,1501,1,Tuberculosis,1,Infectious and parasitic diseases
213,1502,1,Tuberculosis,1,Infectious and parasitic diseases
214,1503,1,Tuberculosis,1,Infectious and parasitic diseases
215,1504,1,Tuberculosis,1,Infectious and parasitic diseases
216,1505,1,Tuberculosis,1,Infectious and parasitic diseases
217,1506,1,Tuberculosis,1,Infectious and parasitic diseases
218,1510,1,Tuberculosis,1,Infectious and parasitic diseases
219,1511,1,Tuberculosis,1,Infectious and parasitic diseases
220,1512,1,Tuberculosis,1,Infectious and parasitic diseases
221,1513,1,Tuberculosis,1,Infectious and parasitic diseases
222,1514,1,Tuberculosis,1,Infectious and parasitic diseases
223,1515,1,Tuberculosis,1,Infectious and parasitic diseases
224,1516,1,Tuberculosis,1,Infectious and parasitic diseases
225,1520,1,Tuberculosis,1,Infectious and parasitic diseases
226,1521,1,Tuberculosis,1,Infectious and parasitic diseases
227,1522,1,Tuberculosis,1,Infectious and parasitic diseases
228,1523,1,Tuberculosis,1,Infectious and parasitic diseases
229,1524,1,Tuberculosis,1,Infectious and parasitic diseases
230,1525,1,Tuberculosis,1,Infectious and parasitic diseases
231,1526,1,Tuberculosis,1,Infectious and parasitic diseases
232,1550,1,Tuberculosis,1,Infectious and parasitic diseases
233,1551,1,Tuberculosis,1,Infectious and parasitic diseases
234,1552,1,Tuberculosis,1,Infectious and parasitic diseases
235,1553,1,Tuberculosis,1,Infectious and parasitic diseases
236,1554,1,Tuberculosis,1,Infectious and parasitic diseases
237,1555,1,Tuberculosis,1,Infectious and parasitic diseases
238,1556,1,Tuberculosis,1,Infectious and parasitic diseases
239,1560,1,Tuberculosis,1,Infectious and parasitic diseases
240,1561,1,Tuberculosis,1,Infectious and parasitic diseases
241,1562,1,Tuberculosis,1,Infectious and parasitic diseases
242,1563,1,Tuberculosis,1,Infectious and parasitic diseases
243,1564,1,Tuberculosis,1,Infectious and parasitic diseases
244,1565,1,Tuberculosis,1,Infectious and parasitic diseases
245,1566,1,Tuberculosis,1,Infectious and parasitic diseases
246,1570,1,Tuberculosis,1,Infectious and parasitic diseases
247,1571,1,Tuberculosis,1,Infectious and parasitic diseases
248,1572,1,Tuberculosis,1,Infectious and parasitic diseases
249,1573,1,Tuberculosis,1,Infectious and parasitic diseases
250,1574,1,Tuberculosis,1,Infectious and parasitic diseases
251,1575,1,Tuberculosis,1,Infectious and parasitic diseases
252,1576,1,Tuberculosis,1,Infectious and parasitic diseases
253,1580,1,Tuberculosis,1,Infectious and parasitic diseases
254,1581,1,Tuberculosis,1,Infectious and parasitic diseases
255,1582,1,Tuberculosis,1,Infectious and parasitic diseases
256,1583,1,Tuberculosis,1,Infectious and parasitic diseases
257,1584,1,Tuberculosis,1,Infectious and parasitic diseases
258,1585,1,Tuberculosis,1,Infectious and parasitic diseases
259,1586,1,Tuberculosis,1,Infectious and parasitic diseases
260,1590,1,Tuberculosis,1,Infectious and parasitic diseases
261,1591,1,Tuberculosis,1,Infectious and parasitic diseases
262,1592,1,Tuberculosis,1,Infectious and parasitic diseases
263,1593,1,Tuberculosis,1,Infectious and parasitic diseases
264,1594,1,Tuberculosis,1,Infectious and parasitic diseases
265,1595,1,Tuberculosis,1,Infectious and parasitic diseases
266,1596,1,Tuberculosis,1,Infectious and parasitic diseases
267,1600,1,Tuberculosis,1,Infectious and parasitic diseases
268,1601,1,Tuberculosis,1,Infectious and parasitic diseases
269,1602,1,Tuberculosis,1,Infectious and parasitic diseases
270,1603,1,Tuberculosis,1,Infectious and parasitic diseases
271,1604,1,Tuberculosis,1,Infectious and parasitic diseases
272,1605,1,Tuberculosis,1,Infectious and parasitic diseases
273,1606,1,Tuberculosis,1,Infectious and parasitic diseases
274,1610,1,Tuberculosis,1,Infectious and parasitic diseases
275,1611,1,Tuberculosis,1,Infectious and parasitic diseases
276,1612,1,Tuberculosis,1,Infectious and parasitic diseases
277,1613,1,Tuberculosis,1,Infectious and parasitic diseases
278,1614,1,Tuberculosis,1,Infectious and parasitic diseases
279,1615,1,Tuberculosis,1,Infectious and parasitic diseases
280,1616,1,Tuberculosis,1,Infectious and parasitic diseases
281,1620,1,Tuberculosis,1,Infectious and parasitic diseases
282,1621,1,Tuberculosis,1,Infectious and parasitic diseases
283,1622,1,Tuberculosis,1,Infectious and parasitic diseases
284,1623,1,Tuberculosis,1,Infectious and parasitic diseases
285,1624,1,Tuberculosis,1,Infectious and parasitic diseases
286,1625,1,Tuberculosis,1,Infectious and parasitic diseases
287,1626,1,Tuberculosis,1,Infectious and parasitic diseases
288,1630,1,Tuberculosis,1,Infectious and parasitic diseases
289,1631,1,Tuberculosis,1,Infectious and parasitic diseases
290,1632,1,Tuberculosis,1,Infectious and parasitic diseases
291,1633,1,Tuberculosis,1,Infectious and parasitic diseases
292,1634,1,Tuberculosis,1,Infectious and parasitic diseases
293,1635,1,Tuberculosis,1,Infectious and parasitic diseases
294,1636,1,Tuberculosis,1,Infectious and parasitic diseases
295,1640,1,Tuberculosis,1,Infectious and parasitic diseases
296,1641,1,Tuberculosis,1,Infectious and parasitic diseases
297,1642,1,Tuberculosis,1,Infectious and parasitic diseases
298,1643,1,Tuberculosis,1,Infectious and parasitic diseases
299,1644,1,Tuberculosis,1,Infectious and parasitic diseases
300,1645,1,Tuberculosis,1,Infectious and parasitic diseases
301,1646,1,Tuberculosis,1,Infectious and parasitic diseases
302,1650,1,Tuberculosis,1,Infectious and parasitic diseases
303,1651,1,Tuberculosis,1,Infectious and parasitic diseases
304,1652,1,Tuberculosis,1,Infectious and parasitic diseases
305,1653,1,Tuberculosis,1,Infectious and parasitic diseases
306,1654,1,Tuberculosis,1,Infectious and parasitic diseases
307,1655,1,Tuberculosis,1,Infectious and parasitic diseases
308,1656,1,Tuberculosis,1,Infectious and parasitic diseases
309,1660,1,Tuberculosis,1,Infectious and parasitic diseases
310,1661,1,Tuberculosis,1,Infectious and parasitic diseases
311,1662,1,Tuberculosis,1,Infectious and parasitic diseases
312,1663,1,Tuberculosis,1,Infectious and parasitic diseases
313,1664,1,Tuberculosis,1,Infectious and parasitic diseases
314,1665,1,Tuberculosis,1,Infectious and parasitic diseases
315,1666,1,Tuberculosis,1,Infectious and parasitic diseases
316,1670,1,Tuberculosis,1,Infectious and parasitic diseases
317,1671,1,Tuberculosis,1,Infectious and parasitic diseases
318,1672,1,Tuberculosis,1,Infectious and parasitic diseases
319,1673,1,Tuberculosis,1,Infectious and parasitic diseases
320,1674,1,Tuberculosis,1,Infectious and parasitic diseases
321,1675,1,Tuberculosis,1,Infectious and parasitic diseases
322,1676,1,Tuberculosis,1,Infectious and parasitic diseases
323,1690,1,Tuberculosis,1,Infectious and parasitic diseases
324,1691,1,Tuberculosis,1,Infectious and parasitic diseases
325,1692,1,Tuberculosis,1,Infectious and parasitic diseases
326,1693,1,Tuberculosis,1,Infectious and parasitic diseases
327,1694,1,Tuberculosis,1,Infectious and parasitic diseases
328,1695,1,Tuberculosis,1,Infectious and parasitic diseases
329,1696,1,Tuberculosis,1,Infectious and parasitic diseases
330,1700,1,Tuberculosis,1,Infectious and parasitic diseases
331,1701,1,Tuberculosis,1,Infectious and parasitic diseases
332,1702,1,Tuberculosis,1,Infectious and parasitic diseases
333,1703,1,Tuberculosis,1,Infectious and parasitic diseases
334,1704,1,Tuberculosis,1,Infectious and parasitic diseases
335,1705,1,Tuberculosis,1,Infectious and parasitic diseases
336,1706,1,Tuberculosis,1,Infectious and parasitic diseases
337,1710,1,Tuberculosis,1,Infectious and parasitic diseases
338,1711,1,Tuberculosis,1,Infectious and parasitic diseases
339,1712,1,Tuberculosis,1,Infectious and parasitic diseases
340,1713,1,Tuberculosis,1,Infectious and parasitic diseases
341,1714,1,Tuberculosis,1,Infectious and parasitic diseases
342,1715,1,Tuberculosis,1,Infectious and parasitic diseases
343,1716,1,Tuberculosis,1,Infectious and parasitic diseases
344,1720,1,Tuberculosis,1,Infectious and parasitic diseases
345,1721,1,Tuberculosis,1,Infectious and parasitic diseases
346,1722,1,Tuberculosis,1,Infectious and parasitic diseases
347,1723,1,Tuberculosis,1,Infectious and parasitic diseases
348,1724,1,Tuberculosis,1,Infectious and parasitic diseases
349,1725,1,Tuberculosis,1,Infectious and parasitic diseases
350,1726,1,Tuberculosis,1,Infectious and parasitic diseases
351,1730,1,Tuberculosis,1,Infectious and parasitic diseases
352,1731,1,Tuberculosis,1,Infectious and parasitic diseases
353,1732,1,Tuberculosis,1,Infectious and parasitic diseases
354,1733,1,Tuberculosis,1,Infectious and parasitic diseases
355,1734,1,Tuberculosis,1,Infectious and parasitic diseases
356,1735,1,Tuberculosis,1,Infectious and parasitic diseases
357,1736,1,Tuberculosis,1,Infectious and parasitic diseases
358,1740,1,Tuberculosis,1,Infectious and parasitic diseases
359,1741,1,Tuberculosis,1,Infectious and parasitic diseases
360,1742,1,Tuberculosis,1,Infectious and parasitic diseases
361,1743,1,Tuberculosis,1,Infectious and parasitic diseases
362,1744,1,Tuberculosis,1,Infectious and parasitic diseases
363,1745,1,Tuberculosis,1,Infectious and parasitic diseases
364,1746,1,Tuberculosis,1,Infectious and parasitic diseases
365,1750,1,Tuberculosis,1,Infectious and parasitic diseases
366,1751,1,Tuberculosis,1,Infectious and parasitic diseases
367,1752,1,Tuberculosis,1,Infectious and parasitic diseases
368,1753,1,Tuberculosis,1,Infectious and parasitic diseases
369,1754,1,Tuberculosis,1,Infectious and parasitic diseases
370,1755,1,Tuberculosis,1,Infectious and parasitic diseases
371,1756,1,Tuberculosis,1,Infectious and parasitic diseases
372,1760,1,Tuberculosis,1,Infectious and parasitic diseases
373,1761,1,Tuberculosis,1,Infectious and parasitic diseases
374,1762,1,Tuberculosis,1,Infectious and parasitic diseases
375,1763,1,Tuberculosis,1,Infectious and parasitic diseases
376,1764,1,Tuberculosis,1,Infectious and parasitic diseases
377,1765,1,Tuberculosis,1,Infectious and parasitic diseases
378,1766,1,Tuberculosis,1,Infectious and parasitic diseases
379,1770,1,Tuberculosis,1,Infectious and parasitic diseases
380,1771,1,Tuberculosis,1,Infectious and parasitic diseases
381,1772,1,Tuberculosis,1,Infectious and parasitic diseases
382,1773,1,Tuberculosis,1,Infectious and parasitic diseases
383,1774,1,Tuberculosis,1,Infectious and parasitic diseases
384,1775,1,Tuberculosis,1,Infectious and parasitic diseases
385,1776,1,Tuberculosis,1,Infectious and parasitic diseases
386,1780,1,Tuberculosis,1,Infectious and parasitic diseases
387,1781,1,Tuberculosis,1,Infectious and parasitic diseases
388,1782,1,Tuberculosis,1,Infectious and parasitic diseases
389,1783,1,Tuberculosis,1,Infectious and parasitic diseases
390,1784,1,Tuberculosis,1,Infectious and parasitic diseases
391,1785,1,Tuberculosis,1,Infectious and parasitic diseases
392,1786,1,Tuberculosis,1,Infectious and parasitic diseases
393,1790,1,Tuberculosis,1,Infectious and parasitic diseases
394,1791,1,Tuberculosis,1,Infectious and parasitic diseases
395,1792,1,Tuberculosis,1,Infectious and parasitic diseases
396,1793,1,Tuberculosis,1,Infectious and parasitic diseases
397,1794,1,Tuberculosis,1,Infectious and parasitic diseases
398,1795,1,Tuberculosis,1,Infectious and parasitic diseases
399,1796,1,Tuberculosis,1,Infectious and parasitic diseases
400,1800,1,Tuberculosis,1,Infectious and parasitic diseases
401,1801,1,Tuberculosis,1,Infectious and parasitic diseases
402,1802,1,Tuberculosis,1,Infectious and parasitic diseases
403,1803,1,Tuberculosis,1,Infectious and parasitic diseases
404,1804,1,Tuberculosis,1,Infectious and parasitic diseases
405,1805,1,Tuberculosis,1,Infectious and parasitic diseases
406,1806,1,Tuberculosis,1,Infectious and parasitic diseases
407,1880,1,Tuberculosis,1,Infectious and parasitic diseases
408,1881,1,Tuberculosis,1,Infectious and parasitic diseases
409,1882,1,Tuberculosis,1,Infectious and parasitic diseases
410,1883,1,Tuberculosis,1,Infectious and parasitic diseases
411,1884,1,Tuberculosis,1,Infectious and parasitic diseases
412,1885,1,Tuberculosis,1,Infectious and parasitic diseases
413,1886,1,Tuberculosis,1,Infectious and parasitic diseases
414,1890,1,Tuberculosis,1,Infectious and parasitic diseases
415,1891,1,Tuberculosis,1,Infectious and parasitic diseases
416,1892,1,Tuberculosis,1,Infectious and parasitic diseases
417,1893,1,Tuberculosis,1,Infectious and parasitic diseases
418,1894,1,Tuberculosis,1,Infectious and parasitic diseases
419,1895,1,Tuberculosis,1,Infectious and parasitic diseases
420,1896,1,Tuberculosis,1,Infectious and parasitic diseases
421,1370,1,Tuberculosis,1,Infectious and parasitic diseases
422,1371,1,Tuberculosis,1,Infectious and parasitic diseases
423,1372,1,Tuberculosis,1,Infectious and parasitic diseases
424,1373,1,Tuberculosis,1,Infectious and parasitic diseases
425,1374,1,Tuberculosis,1,Infectious and parasitic diseases
426,V1201,1,Tuberculosis,1,Infectious and parasitic diseases
427,31,2,Septicemia (except in labor),1,Infectious and parasitic diseases
428,202,2,Septicemia (except in labor),1,Infectious and parasitic diseases
429,223,2,Septicemia (except in labor),1,Infectious and parasitic diseases
430,362,2,Septicemia (except in labor),1,Infectious and parasitic diseases
431,380,2,Septicemia (except in labor),1,Infectious and parasitic diseases
432,381,2,Septicemia (except in labor),1,Infectious and parasitic diseases
433,3810,2,Septicemia (except in labor),1,Infectious and parasitic diseases
434,3811,2,Septicemia (except in labor),1,Infectious and parasitic diseases
435,3812,2,Septicemia (except in labor),1,Infectious and parasitic diseases
436,3819,2,Septicemia (except in labor),1,Infectious and parasitic diseases
437,382,2,Septicemia (except in labor),1,Infectious and parasitic diseases
438,383,2,Septicemia (except in labor),1,Infectious and parasitic diseases
439,3840,2,Septicemia (except in labor),1,Infectious and parasitic diseases
440,3841,2,Septicemia (except in labor),1,Infectious and parasitic diseases
441,3842,2,Septicemia (except in labor),1,Infectious and parasitic diseases
442,3843,2,Septicemia (except in labor),1,Infectious and parasitic diseases
443,3844,2,Septicemia (except in labor),1,Infectious and parasitic diseases
444,3849,2,Septicemia (except in labor),1,Infectious and parasitic diseases
445,388,2,Septicemia (except in labor),1,Infectious and parasitic diseases
446,389,2,Septicemia (except in labor),1,Infectious and parasitic diseases
447,545,2,Septicemia (except in labor),1,Infectious and parasitic diseases
448,449,2,Septicemia (except in labor),1,Infectious and parasitic diseases
449,77181,2,Septicemia (except in labor),1,Infectious and parasitic diseases
450,7907,2,Septicemia (except in labor),1,Infectious and parasitic diseases
451,99591,2,Septicemia (except in labor),1,Infectious and parasitic diseases
452,99592,2,Septicemia (except in labor),1,Infectious and parasitic diseases
453,200,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
454,208,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
455,209,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
456,218,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
457,219,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
458,228,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
459,229,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
460,230,3,Bacterial infection; unspecified site,1,Infectious and parasitic diseases
